Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO,Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO1,Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO2,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin3,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin4,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin5,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin6,httpsus02web_zoom_usj4433442211_pwdZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09_URL,httpsus02web_zoom_usj4433442211_pwdZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09
Sunday,01:00 (1:00am) EST - 02:30 (2:30am) EST,"
                                        O,SD,ENG,VM,VO
                    				",Up Late In Washington State,,"Virtual, WA",,,https://us02web.zoom.us/j/7937507408,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/7937507408&choe=UTF-8&chld=L|0
Sunday,01:00 (1:00am) EST - 02:15 (2:15am) EST,"
                                        O,SD,YP,ENG,VM,VO
                    				",Saturday Late Night,,"Hollywood, CA",,ID 217 570 6111,https://cgu.zoom.us/j/2175706111,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://cgu.zoom.us/j/2175706111&choe=UTF-8&chld=L|0
Sunday,01:30 (1:30am) EST - 03:00 (3:00am) EST,"
                                        C,VM,IT
                    				",Insieme Possiamo,Password: 279395,,Info: https://na-italia.org/insieme-possiamo-online,,https://zoom.us/j/81269055099,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/81269055099&choe=UTF-8&chld=L|0
Sunday,01:59 (1:59am) EST - 03:29 (3:29am) EST,"
                                        O,JT,ENG,VM,VO
                    				",Midnight Madness - Temp,,"El Paso, TX",,,https://us02web.zoom.us/j/7178902088,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/7178902088&choe=UTF-8&chld=L|0
Sunday,02:00 (2:00am) EST - 03:30 (3:30am) EST,"
                                        C,JT,ENG,VM,VO
                    				",JFT Meeting of Exeter,,"Exeter, Devon",,,https://us02web.zoom.us/j/990990465?pwd=R2VBUm9uQWorMlhOQTZ2dnVRYm54QT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/990990465?pwd=R2VBUm9uQWorMlhOQTZ2dnVRYm54QT09&choe=UTF-8&chld=L|0
Sunday,02:00 (2:00am) EST - 03:30 (3:30am) EST,"
                                        C,AB,PER,VM,VO
                    				",Aramesh - آرامش,,Berlin,,,https://us02web.zoom.us/j/4432441521?pwd=b3NPdDM5Q2QraVFsL3Y1N0FVVkx3QT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4432441521?pwd=b3NPdDM5Q2QraVFsL3Y1N0FVVkx3QT09&choe=UTF-8&chld=L|0
Sunday,02:00 (2:00am) EST - 03:15 (3:15am) EST,"
                                        O,D,To,ENG,VM,VO
                    				",Dreamcatchers NA,,"Lapwai, ID",,password: unity208,https://us02web.zoom.us/j/4581424458,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4581424458&choe=UTF-8&chld=L|0
Sunday,03:00 (3:00am) EST - 04:30 (4:30am) EST,"
                                        C,D,St,RU,VM
                    				",ANтиВИРУС,,,,Пароль для входа в конференцию 911,https://us02web.zoom.us/j/9117777119?pwd=L0NKU0Q3ZlFYRUttVVF6dGc,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/9117777119?pwd=L0NKU0Q3ZlFYRUttVVF6dGc&choe=UTF-8&chld=L|0
Sunday,03:00 (3:00am) EST - 04:00 (4:00am) EST,"
                                        RF,ENG,VM,NOV
                    				",NA@Home Sunday 7pm Meeting,,"Sydney, NSW",,,https://bluejeans.com/750601535,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://bluejeans.com/750601535&choe=UTF-8&chld=L|0
Sunday,03:00 (3:00am) EST - 04:00 (4:00am) EST,"
                                        ENG,VM
                    				",Atheists Recover Too - Living Proof,,TAS,,Zoom ID - 897 6393 7096 Password - 041978,https://zoom.us/j/89763937096,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/89763937096&choe=UTF-8&chld=L|0
Sunday,03:00 (3:00am) EST - 04:00 (4:00am) EST,"
                                        D,ENG,VM
                    				",Guiding Principles Meeting - NA Online Australia,,"Sydney, NSW, 2000",,Meeting ID: 858 6005 5301 Passcode: 175629,https://us06web.zoom.us/j/85860055301?pwd=S0puRTl2bU0vdGZBUzU2TmRXRE5MUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us06web.zoom.us/j/85860055301?pwd=S0puRTl2bU0vdGZBUzU2TmRXRE5MUT09&choe=UTF-8&chld=L|0
Sunday,03:00 (3:00am) EST - 04:00 (4:00am) EST,"
                                        O,St,ENG,VM,VO
                    				",NA Maroubra Nightly,,"Maroubra, NSW, 2035",,Meeting ID: 830 3728 7669  Passcode: 096387,https://us02web.zoom.us/j/83037287669?pwd=OWRRQU52ZC91TUpEUUExUU40eTh2dz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83037287669?pwd=OWRRQU52ZC91TUpEUUExUU40eTh2dz09&choe=UTF-8&chld=L|0
Sunday,03:15 (3:15am) EST - 04:15 (4:15am) EST,"
                                        O,ENG,VM,VO
                    				",Midnight Magic Group,,"Reno, NV",,,https://zoom.us/j/856183619,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/856183619&choe=UTF-8&chld=L|0
Sunday,04:00 (4:00am) EST - 05:30 (5:30am) EST,"
                                        PER,VM,VO
                    				",Mosafer/مسافر,Pass: NA,,,https://chat.whatsapp.com/CKseW1Bq4Fp8inpLI8Lx3Z https://chat.whatsapp.com/J06O5D1KMm150nH2T2lAAY https://chat.whatsapp.com/F2ND6KoTySHCQKIbqL5ykX,https://us04web.zoom.us/j/2337572589,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/2337572589&choe=UTF-8&chld=L|0
Sunday,04:00 (4:00am) EST - 05:30 (5:30am) EST,"
                                        C,D,St,RU,VM
                    				",NAчало,,,,nароль  111,https://us02web.zoom.us/j/5162389018,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/5162389018&choe=UTF-8&chld=L|0
Sunday,04:00 (4:00am) EST - 05:00 (5:00am) EST,"
                                        C,BT,IW,JT,To,ENG,VM,VO
                    				",Sunday Night Wind Down,,"Brisbane, Queensland",,,https://us02web.zoom.us/j/82458252489?pwd=R01Kc3NaVzlER09vODNPRW9ON1dKQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82458252489?pwd=R01Kc3NaVzlER09vODNPRW9ON1dKQT09&choe=UTF-8&chld=L|0
Sunday,04:30 (4:30am) EST - 06:00 (6:00am) EST,"
                                        O,SD,VM,FR
                    				",Un dimanche de gratitude,"La gratitude, avec une expérience et des partages",France,,Zoom ID: 583 583 1212 Pass 2424,https://zoom.us/j/5835831212,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/5835831212&choe=UTF-8&chld=L|0
Sunday,05:00 (5:00am) EST - 07:00 (7:00am) EST,"
                                        O,RF,VM,PT,VO
                    				",Grupo Novo Amanhecer Virtual,ID 4150942864,"Brasília, DF",,,https://us02web.zoom.us/j/4150942864,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4150942864&choe=UTF-8&chld=L|0
Sunday,05:00 (5:00am) EST - 06:45 (6:45am) EST,"
                                        C,O,VM,DE
                    				",Tiefpunkt-kapitulier hier,Offen in der 4. Woche des Monats fur Nicht-Süchtige,Deutschland,,PW: NA2020NA!   PW.-TEL: 220343,https://us02web.zoom.us/j/83231483085?pwd=eS93bU9RRkpLVU5qY010ckdPaEwzdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83231483085?pwd=eS93bU9RRkpLVU5qY010ckdPaEwzdz09&choe=UTF-8&chld=L|0
Sunday,05:00 (5:00am) EST - 06:00 (6:00am) EST,"
                                        VM
                    				",NADDICTS uniquement le 2e dimanche du mois,,"Paris, Île-de-France","le groupe NADDICTS FRANCE se réunira sur ZOOM le 2ème dimanche du mois à 11h en attendant les réunions physiques dans le Bois, au lac de Saint-Mandé",pass 1983,https://zoom.us/j/2412121983,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/2412121983&choe=UTF-8&chld=L|0
Sunday,05:30 (5:30am) EST - 07:00 (7:00am) EST,"
                                        AB,PER,VM,VO
                    				",Aramesh Alman NA-Marathon-Meeting 24/7 گروه 24 ساعته آرامش آلمان Farsi,8:00 - 9:30 Uhr 12:30 - 14:00 Uhr 17:00 - 18:30 Uhr  19:30 - 21:00 Uhr,Berlin,,,https://us02web.zoom.us/j/4433442211?pwd=ZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4433442211?pwd=ZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09&choe=UTF-8&chld=L|0
Sunday,06:00 (6:00am) EST - 08:00 (8:00am) EST,"
                                        D,RF,VM,PT,VO
                    				",Grupo Esperança On Line,,"CSANASF, Região Brasil",,"ID 448 734 4400, Senha: 000 000",https://zoom.us/j/4487344400?pwd=Rm1hK3o4RWY1VVlqT0dkd1FJbVpCZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/4487344400?pwd=Rm1hK3o4RWY1VVlqT0dkd1FJbVpCZz09&choe=UTF-8&chld=L|0
Sunday,06:00 (6:00am) EST - 07:30 (7:30am) EST,"
                                        C,SD,VM,LC,PT,VO
                    				",Os Lusófonos,Formato: Partilha Principal,"London, UK",,"ID 868 3185 0996, Passcode: Tuga",https://us02web.zoom.us/j/86831850996?pwd=cFhNRTlYV0IzT1BKQUVVOVUxMSt6UT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/86831850996?pwd=cFhNRTlYV0IzT1BKQUVVOVUxMSt6UT09&choe=UTF-8&chld=L|0
Sunday,06:00 (6:00am) EST - 07:15 (7:15am) EST,"
                                        C,D,RU,VM
                    				",Спутник,,,,http://na-sputnik.ru/preambula.html,https://zoom.us/j/9119111212,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/9119111212&choe=UTF-8&chld=L|0
Sunday,06:30 (6:30am) EST - 08:00 (8:00am) EST,"
                                        C,AB,PER,VM,VO
                    				",Aramesh - آرامش,,Berlin,,,https://us02web.zoom.us/j/4432441521?pwd=b3NPdDM5Q2QraVFsL3Y1N0FVVkx3QT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4432441521?pwd=b3NPdDM5Q2QraVFsL3Y1N0FVVkx3QT09&choe=UTF-8&chld=L|0
Sunday,07:00 (7:00am) EST - 08:00 (8:00am) EST,"
                                        C,St,ME,ENG,VM,VO
                    				",Morning Rise,,"Newark, NJ",,"ID 256 275 3367, password: 638594",https://us02web.zoom.us/j/2562753367?pwd=dVNYbGlhclBBNDhoMW5ybUxZNjk2QT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/2562753367?pwd=dVNYbGlhclBBNDhoMW5ybUxZNjk2QT09&choe=UTF-8&chld=L|0
Sunday,07:00 (7:00am) EST - 09:00 (9:00am) EST,"
                                        O,JT,ENG,VM,VO
                    				",Morning Miracles,,"Atlantic City, NJ",,ID: 5740460654  Password: 418934,https://us02web.zoom.us/j/5740460654?pwd=RkNCQng5VWlJZzN4MnduTUwzUUh0QT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/5740460654?pwd=RkNCQng5VWlJZzN4MnduTUwzUUh0QT09&choe=UTF-8&chld=L|0
Sunday,07:00 (7:00am) EST - 08:30 (8:30am) EST,"
                                        O,D,JT,ENG,VM,VO
                    				",Early Morning Serenity,"ID: 849 0753 4958, Passcode: 2468","New Brunswick, NJ",,Format: Just for Today,https://zoom.us/j/84907534958,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/84907534958&choe=UTF-8&chld=L|0
Sunday,07:00 (7:00am) EST - 08:00 (8:00am) EST,"
                                        C,D,IP,VM,FR,VO
                    				",Yé trop d'bonheur,,"Mascouche, Québec",,Code: 0,https://zoom.us/j/9350955098,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/9350955098&choe=UTF-8&chld=L|0
Sunday,07:00 (7:00am) EST - 08:30 (8:30am) EST,"
                                        O,VM,LC,DE,TC
                    				",,Clean leben - Die Reise geht auch online weiter,Passwort: 125940,Berlin,,https://us02web.zoom.us/j/9319670031?pwd=M3ByWFREcSt2SHVnM21OMWxRR29Sdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/9319670031?pwd=M3ByWFREcSt2SHVnM21OMWxRR29Sdz09&choe=UTF-8&chld=L|0
Sunday,07:59 (7:59am) EST,"
                                        OE,PER,VM
                    				",Online Farsi meeting (24/7) گروه ۲۴ آنلاین بهبودی در استرالیا (جلسه ٢٤ ساعته),,,,Meeting ID: 314 922 1892 Password: NA,https://us02web.zoom.us/j/3149221982?pwd=NzdaZFlIbHl3TXVqQWVXOW14N0lWUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/3149221982?pwd=NzdaZFlIbHl3TXVqQWVXOW14N0lWUT09&choe=UTF-8&chld=L|0
Sunday,08:00 (8:00am) EST - 09:00 (9:00am) EST,"
                                        O,ENG,VM,LD,VO
                    				",Mugs not Drugs,,"Big Lake, MN",,ID 5463636379 No password needed,https://zoom.us/j/5463636379,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/5463636379&choe=UTF-8&chld=L|0
Sunday,08:00 (8:00am) EST - 09:00 (9:00am) EST,"
                                        C,D,M,ENG,VM,VO
                    				",Breakfast Stars at Brothers and Sisters Narcotics Anonymous,Format: Son-Day Men's meeting,"Lawrence, KS",,"ID 834 8738 9046, password: BSNAMEETIN",https://us02web.zoom.us/j/83487389046?pwd=Y3VEVGpXTDJLTUQrc0Z5R3lFendIQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83487389046?pwd=Y3VEVGpXTDJLTUQrc0Z5R3lFendIQT09&choe=UTF-8&chld=L|0
Sunday,08:00 (8:00am) EST - 09:45 (9:45am) EST,"
                                        C,D,JT,ENG,VM,PH
                    				",NA Infinity Group,Format: Just for Today meditation,MA,Last 15 minutes for parking lot and exchange phone numbers,,tel:Dial (978) 990-5148 Access Code 8203185#,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=Dial%20(978)%20990-5148%20Access%20Code%208203185#&choe=UTF-8&chld=L|0
Sunday,08:00 (8:00am) EST - 10:00 (10:00am) EST,"
                                        C,RF,SD,Ti,VM,PT,VO
                    				",Grupo Digital Praias,,"Rio de Janeiro, RJ",,ID: 2100031799 Senha: 000 000,https://us02web.zoom.us/j/2100031799?pwd=UEt0WElBL0crWDZDcm9TVGVpK3ZUUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/2100031799?pwd=UEt0WElBL0crWDZDcm9TVGVpK3ZUUT09&choe=UTF-8&chld=L|0
Sunday,08:00 (8:00am) EST - 09:15 (9:15am) EST,"
                                        C,RF,To,VM,NE
                    				",Online Nepali Meeting,Password: 2014,,,http://www.onlinenepalimeeting.org,https://us02web.zoom.us/j/9943081728,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/9943081728&choe=UTF-8&chld=L|0
Sunday,08:30 (8:30am) EST - 09:45 (9:45am) EST,"
                                        C,RF,ENG,PH
                    				",Our Gratitude Speaks,,MD,,,"tel:667.770.1530, 890926#","https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=667.770.1530,%20890926#&choe=UTF-8&chld=L|0"
Sunday,08:30 (8:30am) EST - 09:30 (9:30am) EST,"
                                        O,JT,ENG,PH
                    				",Keeping It Real Group of NA,,NJ,,,"tel:tel:848.220.3300, 22222222#","https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=tel:848.220.3300,%2022222222#&choe=UTF-8&chld=L|0"
Sunday,08:30 (8:30am) EST - 09:45 (9:45am) EST,"
                                        O,RF,ENG,VM,VO
                    				",Namaste Clean NA,,"Plymouth, NH",,password: just4today,https://us02web.zoom.us/j/6572046389?pwd=dXpNeDZjclZwV0RRUnpzMVZJc254UT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/6572046389?pwd=dXpNeDZjclZwV0RRUnpzMVZJc254UT09&choe=UTF-8&chld=L|0
Sunday,08:30 (8:30am) EST - 10:00 (10:00am) EST,"
                                        O,BL,D,VM,HIN,VO
                    				",Tejas - Temp,,"Bangalore, Karnataka",,"Local Languages - Kannada, Tamil, Telugu, Hindi",https://us02web.zoom.us/j/8421668628?pwd=TXM2WGNwNzhQV3JrNy9jY205N2Njdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/8421668628?pwd=TXM2WGNwNzhQV3JrNy9jY205N2Njdz09&choe=UTF-8&chld=L|0
Sunday,08:30 (8:30am) EST - 09:30 (9:30am) EST,"
                                        O,RF,ENG,VM,NOV
                    				",Hope not Dope - Temp,,"Hyderabad, Telangana",,password: hope,https://zoom.us/j/9725797934,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/9725797934&choe=UTF-8&chld=L|0
Sunday,08:40 (8:40am) EST - 09:40 (9:40am) EST,"
                                        C,RF,ENG,PH
                    				",Spirit Of Gratitude,,MD,,,"tel:667.770.1533, 848885#","https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=667.770.1533,%20848885#&choe=UTF-8&chld=L|0"
Sunday,09:00 (9:00am) EST - 10:00 (10:00am) EST,"
                                        O,BT,RF,ENG,VM,VO
                    				",EIE Virtual Meeting,,"Virtual, CA",,password: 654321,https://us05web.zoom.us/j/9519091234,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us05web.zoom.us/j/9519091234&choe=UTF-8&chld=L|0
Sunday,09:00 (9:00am) EST - 10:30 (10:30am) EST,"
                                        C,ES,VM,OT
                    				",Grupo Costa Rica | Foro Zonal Latinoamericano,Código de acceso: 512,,,https://forozonalatino.org/rad/,https://zoom.us/s/379627019,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/s/379627019&choe=UTF-8&chld=L|0
Sunday,09:00 (9:00am) EST - 10:15 (10:15am) EST,"
                                        C,D,St,ME,VM,FR,VO
                    				",Avec simplicité,Écriture et discussion,"Shawinigan, Québec",,ID 835 382 2883,https://zoom.us/j/8353822883,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/8353822883&choe=UTF-8&chld=L|0
Sunday,09:00 (9:00am) EST - 10:30 (10:30am) EST,"
                                        C,D,JT,ENG,VM,VO
                    				",Survivors Meeting,,Virtual,,password: 2022,https://us02web.zoom.us/j/8100799669,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/8100799669&choe=UTF-8&chld=L|0
Sunday,09:00 (9:00am) EST - 10:00 (10:00am) EST,"
                                        O,ENG,VM,VO
                    				","Happy, Joyous and Free - NA Live",,"Palm Beach, FL",,,https://narcoticsanonymouslive.org/index.php/live-online-video-meetings,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://narcoticsanonymouslive.org/index.php/live-online-video-meetings&choe=UTF-8&chld=L|0
Sunday,09:00 (9:00am) EST - 10:30 (10:30am) EST,"
                                        C,W,VM,IT
                    				",I doni del recupero (Solo donne),Password: 102030,La riunione si svolge solo la terza domenica del mese,Info: ddr@na-italia.org,,https://us02web.zoom.us/j/83941813544,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83941813544&choe=UTF-8&chld=L|0
Sunday,09:00 (9:00am) EST - 10:30 (10:30am) EST,"
                                        C,D,RU,VM
                    				",Сибирь,,,,Преамбула: https://na-tranzit.org/raznoe/preambula-gr-sibir,https://zoom.us/j7794949494,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j7794949494&choe=UTF-8&chld=L|0
Sunday,09:30 (9:30am) EST - 10:30 (10:30am) EST,"
                                        O,D,RF,ENG,VM,VO
                    				",Rise to Recovery - Temp,,"Walla Walla, WA",,password: 000000,https://us02web.zoom.us/j/9936271953,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/9936271953&choe=UTF-8&chld=L|0
